Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Sonic Unleashed,X360,2008,Platform,Sega,0.54,0.33,0,0.09,0.96
Lost Planet 2,PS3,2010,Shooter,Capcom,0.29,0.34,0.2,0.13,0.96
Tom Clancy's Ghost Recon: Future Soldier,PS3,2012,Shooter,Ubisoft,0.41,0.33,0.09,0.12,0.96
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games,0.32,0.33,0.15,0.15,0.96
LEGO Jurassic World,X360,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.4,0,0.08,0.95
South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,0.57,0.3,0,0.08,0.95
SingStar Abba,PS3,2008,Misc,Sony Computer Entertainment,0.27,0.51,0,0.17,0.95
Brutal Legend,PS3,2009,Action,Electronic Arts,0.54,0.28,0,0.13,0.95
Skylanders: Spyro's Adventure,PS3,2011,Action,Activision,0.39,0.4,0,0.16,0.95
Evolve,PS4,2015,Shooter,Take-Two Interactive,0.35,0.41,0.05,0.15,0.95
WWE SmackDown vs. Raw 2009,PS3,2008,Fighting,THQ,0.51,0.31,0.01,0.13,0.95
Army of Two: The 40th Day,X360,2010,Shooter,Electronic Arts,0.62,0.24,0,0.08,0.95
Lego Batman 3: Beyond Gotham,X360,2014,Action,Warner Bros. Interactive Entertainment,0.48,0.38,0,0.08,0.95
The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,0.27,0.5,0,0.17,0.94
Rocksmith 2014,X360,2013,Misc,Ubisoft,0.69,0.17,0,0.08,0.94
The Witcher 2: Assassins of Kings,X360,2012,Action,Namco Bandai Games,0.48,0.36,0.02,0.08,0.94
Bayonetta,X360,2009,Action,Sega,0.51,0.26,0.09,0.08,0.94
NCAA Football 10,X360,2009,Sports,Electronic Arts,0.87,0,0,0.07,0.94
Operation Flashpoint: Dragon Rising,X360,2009,Shooter,Codemasters,0.36,0.45,0.02,0.1,0.93
Buzz! Quiz World,PS3,2009,Misc,Sony Computer Entertainment,0.16,0.58,0,0.2,0.93
White Knight Chronicles: International Edition,PS3,2008,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93
SSX,PS3,2012,Sports,Electronic Arts,0.35,0.42,0.02,0.14,0.93
LEGO Jurassic World,PS3,2015,Action,Warner Bros. Interactive Entertainment,0.34,0.44,0,0.15,0.93
Skylanders: Trap Team,X360,2014,Action,Activision,0.54,0.31,0,0.08,0.93
Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft,0.44,0.34,0,0.15,0.93
Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,0.3,0.33,0.21,0.08,0.92
NCAA Football 11,X360,2010,Sports,Electronic Arts,0.86,0,0,0.06,0.92
FIFA Street,X360,2012,Sports,Electronic Arts,0.17,0.65,0,0.1,0.92
EA Sports Active 2,PS3,2010,Sports,Electronic Arts,0.52,0.28,0,0.12,0.92
WWE SmackDown vs. Raw 2009,X360,2008,Fighting,THQ,0.58,0.26,0,0.08,0.92
Dante's Inferno,X360,2010,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92
Wipeout: In The Zone,X360,2011,Misc,Activision,0.87,0,0,0.05,0.92
Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.33,0.01,0.08,0.92
Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.39,0,0.15,0.92
Dynasty Warriors 7,PS3,2011,Action,Tecmo Koei,0.25,0.14,0.46,0.06,0.92
The Evil Within,PS3,2014,Action,Bethesda Softworks,0.26,0.39,0.12,0.14,0.92
MLB 12: The Show,PS3,2012,Sports,Sony Computer Entertainment,0.86,0,0,0.06,0.92
Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,0.45,0.27,0.11,0.09,0.92
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.67,0.08,0,0.17,0.92
Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.92
Homefront,PS3,2011,Shooter,THQ,0.32,0.4,0.04,0.15,0.91
Avatar: The Game,PS3,2009,Action,Ubisoft,0.32,0.43,0,0.16,0.91
Tom Clancy's EndWar,X360,2008,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,Activision,0.47,0.3,0,0.13,0.91
MX vs. ATV Reflex,PS3,2009,Racing,THQ,0.52,0.26,0,0.12,0.91
Minecraft: Story Mode,X360,2015,Adventure,Mojang,0.46,0.38,0,0.08,0.91
Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,Activision,0.68,0.15,0,0.08,0.91
DJ Hero,PS3,2009,Misc,Activision,0.42,0.34,0,0.14,0.91
Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,0.55,0.28,0,0.07,0.91
The Simpsons Game,PS3,2007,Action,Electronic Arts,0.38,0.37,0,0.15,0.91
SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment,0.66,0.12,0.04,0.08,0.9
Buzz! Quiz TV,PS3,2008,Misc,Sony Computer Entertainment,0.28,0.48,0,0.14,0.9
Crysis 3,PS3,2013,Shooter,Electronic Arts,0.26,0.43,0.03,0.18,0.9
Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,Electronic Arts,0.52,0.26,0,0.12,0.9
Pure,PS3,2008,Racing,Disney Interactive Studios,0.42,0.33,0,0.14,0.9
LittleBigPlanet Karting,PS3,2012,Action,Sony Computer Entertainment,0.42,0.32,0.01,0.15,0.9
The Biggest Loser: Ultimate Workout,X360,2010,Sports,THQ,0.73,0.1,0,0.06,0.9
Call of Juarez: Bound in Blood,PS3,2009,Shooter,Ubisoft,0.35,0.38,0.01,0.16,0.89
LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.01,0.14,0.89
The Jak and Daxter Collection,PS3,2012,Platform,Sony Computer Entertainment,0.6,0.19,0,0.1,0.89
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.28,0.47,0,0.14,0.89
F1 2010,X360,2010,Racing,Codemasters,0.18,0.59,0.01,0.1,0.89
Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.25,0.01,0.07,0.89
WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,0.44,0.36,0,0.08,0.88
Sleeping Dogs,X360,2012,Action,Square Enix,0.38,0.41,0.01,0.08,0.88
Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.62,0.2,0,0.07,0.88
Rock Band 3,X360,2010,Misc,MTV Games,0.73,0.1,0,0.06,0.88
Just Cause 3,XOne,2015,Action,Square Enix,0.42,0.38,0,0.07,0.88
Tekken Tag Tournament 2,PS3,2012,Fighting,Namco Bandai Games,0.28,0.33,0.13,0.14,0.88
GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.88
NBA 2K14,XOne,2013,Sports,Take-Two Interactive,0.7,0.11,0,0.06,0.87
DiRT,X360,2007,Racing,Codemasters,0.38,0.4,0,0.09,0.87
Red Faction: Guerrilla,X360,2009,Shooter,THQ,0.48,0.29,0.01,0.09,0.87
Mercenaries 2: World in Flames,PS3,2008,Shooter,Electronic Arts,0.29,0.4,0.02,0.16,0.87
NCAA Football 13,PS3,2012,Action,Electronic Arts,0.82,0,0,0.06,0.87
Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,Electronic Arts,0.37,0.3,0.09,0.11,0.87
Beijing 2008,PS3,2008,Sports,Sega,0.14,0.54,0.01,0.18,0.87
Injustice: Gods Among Us,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.29,0,0.12,0.87
Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,0.47,0.31,0,0.09,0.87
Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision,0.47,0.32,0,0.08,0.87
Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.15,0.45,0.07,0.87
Darksiders II,PS3,2012,Action,THQ,0.35,0.37,0.01,0.14,0.86
Ghostbusters: The Video Game,PS3,2009,Action,Sony Computer Entertainment,0.34,0.37,0,0.15,0.86
The Lord of the Rings: War in the North,PS3,N/A,Action,Warner Bros. Interactive Entertainment,0.25,0.45,0.01,0.15,0.86
Dragon Ball Z: Burst Limit,PS3,2008,Fighting,Atari,0.22,0.34,0.18,0.12,0.86
The Lord of the Rings: War in the North,X360,N/A,Action,Warner Bros. Interactive Entertainment,0.52,0.26,0,0.08,0.86
2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.43,0.02,0.09,0.86
Ninja Gaiden Sigma 2,PS3,2009,Action,Ubisoft Annecy,0.52,0.16,0.08,0.1,0.86
Forza Horizon 2,X360,2014,Racing,Microsoft Game Studios,0.35,0.43,0,0.07,0.85
Skate 2,PS3,2009,Sports,Electronic Arts,0.46,0.26,0.01,0.12,0.85
NBA 2K8,X360,2007,Sports,Take-Two Interactive,0.79,0,0,0.07,0.85
Far Cry: Primal,XOne,2016,Action,Ubisoft,0.46,0.32,0,0.07,0.85
Army of Two: The 40th Day,PS3,2010,Shooter,Electronic Arts,0.44,0.27,0.01,0.12,0.85
WWE 2K15,PS3,2014,Sports,Take-Two Interactive,0.36,0.35,0,0.14,0.85
Overwatch,XOne,2016,Shooter,Activision,0.52,0.25,0,0.08,0.85
Sniper Elite V2,X360,2012,Shooter,505 Games,0.46,0.29,0.02,0.07,0.85
Thief (2014),PS4,2014,Action,Square Enix,0.28,0.37,0.03,0.16,0.84
Tiger Woods PGA Tour 11,PS3,2010,Sports,Electronic Arts,0.37,0.34,0,0.13,0.84
Devil May Cry HD Collection,PS3,2012,Action,Capcom,0.42,0.21,0.11,0.1,0.84
MLB 16: The Show,PS4,2016,Action,Sony Computer Entertainment,0.68,0,0,0.16,0.84
NBA 2K10,PS3,2009,Sports,Take-Two Interactive,0.75,0.01,0.01,0.07,0.84
NCAA Football 11,PS3,2010,Sports,Electronic Arts,0.79,0,0,0.06,0.84
Dragon Age II,PS3,2011,Action,Electronic Arts,0.4,0.27,0.05,0.12,0.84
Street Fighter X Tekken,PS3,2012,Fighting,Capcom,0.42,0.22,0.1,0.1,0.84
Duke Nukem Forever,X360,2011,Shooter,Take-Two Interactive,0.52,0.25,0,0.07,0.84
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.36,0.32,0.03,0.14,0.84
Time Crisis 4,PS3,2007,Shooter,Namco Bandai Games,0.32,0.33,0.05,0.14,0.84
Need for Speed Rivals,X360,2013,Racing,Electronic Arts,0.37,0.38,0.01,0.08,0.84
Dance Central 3,X360,2012,Misc,Microsoft Game Studios,0.57,0.2,0,0.06,0.83
NCAA Football 12,PS3,2011,Sports,Electronic Arts,0.78,0,0,0.05,0.83
Sid Meier's Civilization Revolution,X360,2008,Strategy,Take-Two Interactive,0.58,0.17,0,0.07,0.83
The Amazing Spider-Man (Console Version),PS3,2012,Action,Activision,0.31,0.37,0,0.14,0.83
Dragon Ball: Raging Blast 2,PS3,2010,Fighting,Namco Bandai Games,0.42,0.2,0.11,0.09,0.83
Madden NFL 17,XOne,2016,Sports,Electronic Arts,0.72,0.02,0,0.09,0.82
DJ Hero 2,X360,2010,Misc,Activision,0.64,0.12,0,0.06,0.82
Street Fighter V,PS4,2016,Fighting,Capcom,0.35,0.26,0.08,0.13,0.82
DmC: Devil May Cry,PS3,2013,Action,Capcom,0.24,0.28,0.19,0.12,0.82
Guitar Hero: Warriors of Rock,PS3,2010,Misc,Activision,0.33,0.35,0,0.14,0.82
Madden NFL 16,PS3,2015,Sports,Electronic Arts,0.56,0.11,0,0.15,0.82
Stranglehold,X360,2007,Shooter,Midway Games,0.4,0.33,0.01,0.09,0.82
SingStar Vol. 2,PS3,2008,Misc,Sony Computer Entertainment,0.29,0.4,0,0.13,0.82
Shaun White Snowboarding,X360,N/A,Sports,Ubisoft,0.48,0.26,0,0.08,0.82
Madden NFL 25,PS4,2013,Sports,Electronic Arts,0.62,0.13,0,0.07,0.82
Twisted Metal (2012),PS3,2012,Action,Sony Computer Entertainment,0.67,0.07,0,0.07,0.82
Guitar Hero Live,PS4,2015,Misc,Activision,0.32,0.35,0,0.13,0.81
Pro Evolution Soccer 2010,X360,2009,Sports,Konami Digital Entertainment,0.12,0.58,0.03,0.08,0.81
Lego Batman 3: Beyond Gotham,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.35,0,0.13,0.81
DiRT 2,X360,2009,Racing,Codemasters,0.32,0.4,0,0.09,0.81
Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.43,0.3,0.01,0.07,0.81
NCAA Football 10,PS3,2009,Sports,Electronic Arts,0.75,0,0,0.06,0.81
Guitar Hero: Metallica,X360,2009,Misc,Activision,0.52,0.21,0,0.07,0.81
NCAA Football 14,PS3,2013,Sports,Electronic Arts,0.75,0,0,0.06,0.8
Fight Night Champion,X360,2011,Fighting,Electronic Arts,0.4,0.33,0,0.07,0.8
Aliens: Colonial Marines,X360,2013,Shooter,Sega,0.36,0.37,0,0.07,0.8
[Prototype 2],X360,2012,Action,Activision,0.48,0.25,0,0.07,0.8
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,2010,Racing,Sega,0.37,0.35,0,0.07,0.8
Goldeneye 007: Reloaded,PS3,2011,Shooter,Activision,0.33,0.35,0,0.13,0.8
NBA 2K16,PS3,2015,Sports,Take-Two Interactive,0.44,0.19,0.03,0.13,0.8
Dragon's Dogma,X360,2012,Role-Playing,Capcom,0.42,0.24,0.07,0.06,0.8
Darksiders II,X360,2012,Action,THQ,0.45,0.28,0,0.07,0.8
Resident Evil: Revelations,PS3,2013,Action,Capcom,0.14,0.32,0.22,0.12,0.8
Band Hero,X360,2009,Misc,Activision,0.51,0.22,0,0.07,0.8
Sniper: Ghost Warrior,PS3,2011,Shooter,City Interactive,0.26,0.36,0.04,0.14,0.8
The Godfather II,X360,2009,Action,Electronic Arts,0.47,0.24,0.01,0.08,0.79
The Walking Dead: Season One,PS3,2012,Adventure,Avanquest Software,0.4,0.25,0.03,0.11,0.79
Rayman Origins,X360,2011,Platform,Ubisoft,0.38,0.34,0,0.08,0.79
Tiger Woods PGA Tour 10,PS3,2009,Sports,Electronic Arts,0.42,0.25,0,0.12,0.79
Star Ocean: The Last Hope,X360,2009,Role-Playing,Square Enix,0.32,0.2,0.21,0.06,0.79
Dead Island: Riptide,X360,2013,Action,Deep Silver,0.44,0.27,0.01,0.07,0.79
Too Human,X360,2008,Role-Playing,Microsoft Game Studios,0.38,0.3,0.03,0.08,0.79
Sid Meier's Civilization Revolution,PS3,2008,Strategy,Take-Two Interactive,0.49,0.19,0.01,0.1,0.79
Naruto Shippuden: Ultimate Ninja Storm 2,X360,2010,Fighting,Namco Bandai Games,0.43,0.27,0.01,0.07,0.79
Tom Clancy's Splinter Cell: Double Agent,X360,2006,Action,Ubisoft,0.67,0.05,0.01,0.06,0.78
Lips,X360,2008,Misc,Microsoft Game Studios,0.12,0.56,0,0.1,0.78
God of War Saga,PS3,2012,Action,Sony Computer Entertainment,0.72,0,0,0.06,0.78
Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.78
UFC Personal Trainer: The Ultimate Fitness System,X360,2011,Sports,THQ,0.53,0.19,0,0.06,0.78
Resident Evil: Operation Raccoon City,X360,2012,Action,Capcom,0.55,0.15,0.03,0.06,0.78
Toy Story 3: The Video Game,X360,2010,Action,Disney Interactive Studios,0.41,0.29,0,0.07,0.78
Banjo-Kazooie: Nuts & Bolts,X360,2008,Platform,Microsoft Game Studios,0.32,0.36,0,0.09,0.78
Avatar: The Game,X360,2009,Action,Ubisoft,0.34,0.35,0,0.08,0.78
Perfect Dark Zero,X360,2005,Shooter,Microsoft Game Studios,0.66,0.02,0.03,0.06,0.77
Madden NFL 25,XOne,2013,Sports,Electronic Arts,0.67,0.05,0,0.05,0.77
Duke Nukem Forever,PS3,2011,Shooter,Take-Two Interactive,0.33,0.31,0,0.12,0.77
Dragon Ball: Raging Blast,PS3,2009,Fighting,Namco Bandai Games,0.37,0.19,0.11,0.1,0.77
Plants vs. Zombies: Garden Warfare,PS3,2014,Shooter,Electronic Arts,0.22,0.4,0.01,0.14,0.76
Lost Planet 2,X360,2010,Shooter,Capcom,0.38,0.24,0.08,0.06,0.76
SoulCalibur V,PS3,2012,Fighting,Namco Bandai Games,0.35,0.24,0.07,0.1,0.76
Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,0.09,0.43,0.11,0.13,0.76
The Lord of the Rings: Conquest,PS3,2009,Action,Electronic Arts,0.38,0.26,0,0.12,0.76
Kane & Lynch: Dead Men,X360,2007,Shooter,Eidos Interactive,0.36,0.31,0.01,0.08,0.76
Kane & Lynch: Dead Men,PS3,2007,Shooter,Eidos Interactive,0.29,0.32,0.01,0.13,0.76
Dark Souls II,X360,2014,Role-Playing,Namco Bandai Games,0.48,0.2,0.01,0.06,0.76
Rockstar Games presents Table Tennis,X360,2006,Sports,Take-Two Interactive,0.28,0.39,0,0.09,0.76
Genji: Days of the Blade,PS3,2006,Action,Sony Computer Entertainment,0.18,0.38,0.06,0.14,0.76
Rare Replay,XOne,2015,Misc,Microsoft Game Studios,0.47,0.21,0.01,0.07,0.75
Band Hero,PS3,2009,Misc,Activision,0.41,0.24,0,0.11,0.75
DJ Hero 2,PS3,2010,Misc,Activision,0.47,0.19,0,0.09,0.75
The Godfather II,PS3,2009,Action,Electronic Arts,0.41,0.22,0.01,0.11,0.75
Turok,X360,2008,Action,Touchstone,0.46,0.21,0.01,0.07,0.75
[Prototype 2],PS3,2012,Action,Activision,0.36,0.28,0,0.11,0.75
The Amazing Spider-Man (Console Version),X360,2012,Action,Activision,0.43,0.26,0,0.06,0.75
Red Faction: Guerrilla,PS3,2009,Shooter,THQ,0.33,0.28,0.02,0.12,0.75
Tales of Vesperia,X360,2008,Role-Playing,Atari,0.32,0.18,0.19,0.05,0.75
X-Men Origins: Wolverine - Uncaged Edition,PS3,2009,Action,Activision,0.31,0.32,0,0.13,0.75
Split/Second,PS3,2010,Racing,Disney Interactive Studios,0.31,0.31,0.01,0.12,0.75
Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.46,0.22,0.01,0.06,0.75
LittleBigPlanet 3,PS3,2014,Platform,Sony Computer Entertainment,0.2,0.43,0.01,0.11,0.75
Marvel: Ultimate Alliance 2,PS3,2009,Role-Playing,Activision,0.49,0.16,0,0.09,0.75
The Walking Dead: Season One,X360,2012,Adventure,Avanquest Software,0.55,0.14,0,0.05,0.75
Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.3,0.16,0.22,0.07,0.74
Resonance of Fate,PS3,2010,Role-Playing,Sega,0.2,0.22,0.24,0.09,0.74
Final Fantasy XIII-2,X360,2011,Role-Playing,Square Enix,0.36,0.3,0.02,0.06,0.74
Brink,PS3,2011,Shooter,Bethesda Softworks,0.29,0.32,0.01,0.12,0.74
Blur,PS3,2010,Racing,Activision,0.22,0.37,0.02,0.13,0.74
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012,Fighting,Namco Bandai Games,0.27,0.25,0.14,0.08,0.74
Pirates of the Caribbean: At World's End,PS3,2007,Action,Disney Interactive Studios,0.17,0.41,0,0.15,0.74
Tiger Woods PGA Tour 08,PS3,2007,Sports,Electronic Arts,0.22,0.38,0,0.14,0.74
Persona 4: Arena,PS3,2012,Fighting,Atlus,0.3,0.12,0.24,0.07,0.74
Star Ocean: The Last Hope International,PS3,2010,Role-Playing,Square Enix,0.28,0.16,0.22,0.08,0.73
F1 2011,X360,2011,Racing,Codemasters,0.11,0.51,0.01,0.09,0.73
NHL 11,X360,2010,Sports,Electronic Arts,0.61,0.07,0,0.05,0.73
DiRT 3,X360,2011,Racing,Codemasters,0.23,0.41,0.01,0.08,0.73
NCAA Football 07,X360,2006,Sports,Electronic Arts,0.67,0,0,0.06,0.73
Ratchet & Clank Collection,PS3,2012,Action,Sony Computer Entertainment,0.47,0.14,0.02,0.09,0.73
MX vs. ATV Reflex,X360,2009,Racing,THQ,0.52,0.15,0,0.06,0.73
SSX,X360,2012,Sports,Electronic Arts,0.38,0.28,0,0.06,0.72
Final Fantasy XIV: A Realm Reborn,PS4,2014,Role-Playing,Square Enix,0.32,0.22,0.08,0.1,0.72
Major League Baseball 2K7,X360,2007,Sports,Spike,0.67,0,0,0.05,0.72
Terraria,X360,2013,Action,505 Games,0.35,0.31,0,0.06,0.72
James Bond 007: Blood Stone,PS3,2010,Shooter,Activision,0.18,0.38,0.02,0.13,0.72
Skate,X360,2007,Sports,Electronic Arts,0.62,0.04,0,0.06,0.72
Driver: San Francisco,X360,2011,Racing,Ubisoft,0.25,0.39,0,0.08,0.72
MLB 09: The Show,PS3,2009,Sports,Sony Computer Entertainment,0.66,0,0,0.05,0.72
Catherine,PS3,2011,Adventure,Deep Silver,0.3,0.15,0.2,0.07,0.72
MLB 13: The Show,PS3,2013,Sports,Sony Computer Entertainment,0.66,0,0,0.05,0.71
Omerta: City of Gangsters,X360,2011,Simulation,Konami Digital Entertainment,0.42,0.23,0,0.06,0.71
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015,Action,Square Enix,0.16,0.13,0.37,0.06,0.71
Top Spin 4,PS3,2011,Sports,Take-Two Interactive,0.17,0.4,0,0.14,0.71
Dynasty Warriors 6,PS3,2007,Action,Tecmo Koei,0.18,0.08,0.41,0.04,0.71
Final Fantasy X/X-2 HD Remaster,PS4,2015,Role-Playing,Square Enix,0.29,0.25,0.06,0.11,0.71
MLB 10: The Show,PS3,2010,Sports,Sony Computer Entertainment,0.66,0,0,0.05,0.71
Metal Gear Solid V: The Phantom Pain,XOne,2015,Action,Konami Digital Entertainment,0.37,0.26,0.01,0.06,0.71
Two Worlds,X360,2007,Role-Playing,SouthPeak Games,0.41,0.23,0,0.07,0.71
NCAA Football 09,X360,2008,Sports,Electronic Arts,0.65,0,0,0.05,0.71
NBA Live 09,X360,2008,Sports,Electronic Arts,0.5,0.14,0,0.07,0.71
Ratchet & Clank: Into the Nexus,PS3,2013,Shooter,Sony Computer Entertainment,0.3,0.29,0,0.11,0.71
2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.39,0.01,0.16,0.71
London 2012: The Official Video Game of the Olympic Games,PS3,2012,Sports,Sega,0.06,0.5,0,0.15,0.7
NHL 12,X360,2011,Sports,Electronic Arts,0.55,0.1,0,0.05,0.7
Infinite Undiscovery,X360,2008,Role-Playing,Square Enix,0.34,0.18,0.12,0.06,0.7
NCAA Football 08,X360,2007,Sports,Electronic Arts,0.65,0,0,0.05,0.7
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS3,2009,Shooter,Activision,0.28,0.3,0,0.12,0.7
Prince of Persia: The Forgotten Sands,PS3,2010,Action,Ubisoft,0.19,0.36,0.01,0.13,0.7
IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,505 Games,0.34,0.26,0,0.1,0.7
Book of Spells,PS3,2012,Action,Sony Computer Entertainment,0.13,0.4,0,0.16,0.7
Metal Gear Solid V: The Phantom Pain,PS3,2015,Action,Konami Digital Entertainment,0.21,0.18,0.22,0.08,0.7
MotionSports,X360,2010,Sports,Ubisoft,0.38,0.26,0,0.06,0.7
MLB 08: The Show,PS3,2008,Sports,Sony Computer Entertainment,0.64,0,0,0.05,0.7
WWE 2K15,X360,2014,Sports,Take-Two Interactive,0.38,0.26,0,0.06,0.69
X-Men Origins: Wolverine - Uncaged Edition,X360,2009,Action,Activision,0.42,0.21,0,0.06,0.69
Shrek the Third,X360,2007,Action,Activision,0.54,0.1,0,0.06,0.69
Test Drive Unlimited 2,X360,N/A,Racing,Atari,0.3,0.32,0,0.07,0.69
Minecraft: Story Mode,PS3,2015,Adventure,Mojang,0.25,0.33,0,0.11,0.69
Skylanders: Trap Team,PS3,2014,Action,Activision,0.24,0.33,0,0.12,0.69
The Sly Collection,PS3,2010,Platform,Sony Computer Entertainment,0.52,0.09,0.01,0.07,0.69
One Piece: Pirate Warriors 2,PS3,2013,Action,Namco Bandai Games,0,0.2,0.42,0.07,0.69
Need for Speed: Shift 2 Unleashed,PS3,2011,Racing,Electronic Arts,0.2,0.36,0,0.13,0.69
MX vs. ATV Untamed,X360,2007,Racing,THQ,0.55,0.08,0,0.06,0.69
The Last Remnant,X360,2008,Role-Playing,Square Enix,0.25,0.2,0.18,0.06,0.69
Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,0.39,0.23,0,0.06,0.68
Iron Man,PS3,2008,Action,Sega,0.32,0.25,0,0.11,0.68
Disney Infinity 3.0,PS4,2015,Action,Disney Interactive Studios,0.21,0.36,0,0.11,0.68
Spider-Man 3,PS3,2007,Platform,Activision,0.26,0.29,0.02,0.12,0.68
Metro: Last Light,PS4,2014,Action,Deep Silver,0.22,0.3,0.04,0.12,0.68
Sniper Elite 3,PS4,2014,Shooter,505 Games,0.22,0.33,0,0.13,0.68
Doom (2016),XOne,2016,Shooter,Bethesda Softworks,0.39,0.23,0,0.06,0.68
Need for Speed (2015),XOne,2015,Racing,Electronic Arts,0.3,0.33,0,0.06,0.68
Turok,PS3,2008,Action,Touchstone,0.35,0.22,0.01,0.1,0.68
Unreal Tournament III,PS3,2007,Shooter,Midway Games,0.33,0.24,0,0.11,0.67
Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,0.45,0.17,0,0.05,0.67
Lollipop Chainsaw,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.26,0.21,0.11,0.09,0.67
The Darkness,PS3,2007,Shooter,Take-Two Interactive,0.2,0.34,0,0.13,0.67
Blazing Angels: Squadrons of WWII,PS3,2006,Simulation,Ubisoft,0.35,0.22,0,0.1,0.67
Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,0.33,0.28,0,0.06,0.67
The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67
Castlevania: Lords of Shadow,X360,2010,Action,Konami Digital Entertainment,0.42,0.18,0.01,0.05,0.67
Minecraft: Story Mode,PS4,2015,Adventure,Mojang,0.23,0.33,0,0.11,0.67
NHL 13,X360,2012,Sports,Electronic Arts,0.51,0.11,0,0.05,0.67
Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,0.25,0.26,0.05,0.11,0.67
Shaun White Snowboarding,PS3,2008,Sports,Ubisoft,0.31,0.24,0.01,0.1,0.66
NHL 10,X360,2009,Sports,Electronic Arts,0.51,0.1,0,0.06,0.66
Rayman Legends,PS3,2013,Platform,Ubisoft,0.14,0.38,0,0.14,0.66
Fist of the North Star: Ken's Rage,PS3,2010,Action,Ubisoft Annecy,0.06,0.03,0.55,0.02,0.66
Tiger Woods PGA Tour 09,PS3,2008,Sports,Electronic Arts,0.34,0.22,0,0.1,0.66
F1 2015,PS4,2015,Racing,Codemasters,0.09,0.44,0.03,0.09,0.66
Scene It? Box Office Smash,X360,2008,Misc,Microsoft Game Studios,0.33,0.25,0,0.07,0.66
NHL 13,PS3,2012,Sports,Electronic Arts,0.33,0.22,0,0.1,0.65
Tom Clancy's EndWar,PS3,2008,Strategy,Ubisoft,0.32,0.22,0.01,0.1,0.65
The Evil Within,XOne,2014,Action,Bethesda Softworks,0.35,0.25,0,0.05,0.65
Tiger Woods PGA Tour 09,X360,2008,Sports,Electronic Arts,0.35,0.23,0,0.07,0.65
